topic,programming,sql,visualisation_bi,reporting,excel,statistics,machine_learning,data_cleaning,etl,data_modelling,cloud,stakeholder_comm,ethics_governance
35,0.1267,0.1029,0.1722,0.1895,0.1057,0.3234,0.1976,0.0694,0.1358,0.1209,0.0909,0.1607,0.1614
36,0.1121,0.1441,0.2327,0.192,0.0702,0.2611,0.1922,0.0913,0.1621,0.1773,0.139,0.0861,0.2083
37,0.2281,0.1696,0.1695,0.161,0.1587,0.1518,0.1604,0.1081,0.1212,0.2723,0.1204,0.1644,0.1342
38,0.1499,0.0806,0.117,0.1125,0.1432,0.1111,0.0918,0.0787,0.0527,0.1617,0.0789,-0.007,0.0793
39,0.2513,0.1882,0.2363,0.3155,0.1879,0.1584,0.2109,0.1033,0.2266,0.3803,0.1804,0.3129,0.1337
40,0.0958,0.0164,0.051,0.1673,0.0394,0.0751,0.1222,-0.0158,0.0654,0.1262,0.036,0.1674,0.0015
41,0.1775,0.1196,0.156,0.1989,0.1628,0.143,0.0966,0.1025,0.0738,0.1584,0.0749,0.0255,0.085
42,0.1789,0.1382,0.2174,0.2618,0.0706,0.2527,0.1709,0.0815,0.1423,0.1686,0.0941,0.1774,0.0593
43,0.0521,0.044,0.1084,0.1408,0.0015,0.1401,0.1353,0.0423,0.1049,0.077,0.0702,0.1667,0.2291
44,0.4008,0.1366,0.1656,0.1969,0.2906,0.1568,0.1547,0.1278,0.2741,0.2819,0.1801,0.1907,0.116
45,0.1007,0.1124,0.1063,0.1328,0.0693,0.1397,0.2058,0.093,0.0487,0.2101,0.0709,0.0749,0.0689
46,0.2001,0.0535,0.0829,0.1398,-0.0344,0.0541,0.0843,0.1272,0.0789,0.079,0.1449,0.115,0.1033
47,0.1688,0.169,0.2621,0.278,0.1859,0.2362,0.153,0.105,0.2034,0.223,0.1269,0.1846,0.0884
48,0.1717,0.1625,0.2105,0.2298,0.1414,0.1505,0.1839,0.2376,0.1003,0.2455,0.0928,0.0975,0.0591
49,0.1452,0.1196,0.1546,0.2053,0.1284,0.1352,0.1209,0.0788,0.0884,0.15,0.1142,0.0969,0.1547
50,0.1551,0.1018,0.3979,0.3799,0.2349,0.3118,0.2337,0.2157,0.2361,0.2687,0.2156,0.1178,0.1834
51,0.3161,0.0976,0.3988,0.2821,0.2774,0.2473,0.2715,0.1374,0.3592,0.3891,0.1489,0.1137,0.1253
52,0.0807,0.0762,0.1534,0.261,0.0397,0.1134,0.0799,0.0692,0.0977,0.1728,0.1156,0.5841,0.1456
53,0.1137,0.0528,0.0657,0.1635,0.022,0.1167,0.1475,-0.0244,-0.0184,0.0438,0.0648,0.0973,0.0186
54,0.1751,0.1107,0.1902,0.2424,0.1698,0.1103,0.1623,0.0251,0.2582,0.224,0.1526,0.2441,0.0404
55,0.056,0.1195,0.1072,0.1045,-0.0221,0.0389,0.0965,0.1002,0.0416,0.1054,0.1278,0.1989,0.2064
56,0.0635,0.057,0.0532,0.0231,0.0284,0.0457,0.1388,0.0043,0.0461,0.0569,0.2084,0.0255,0.216
57,0.3154,0.1338,0.1904,0.2156,0.1727,0.1993,0.2454,0.0492,0.0942,0.1765,0.1259,0.0613,0.0012
